"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\ActionDelayer.cs", "C#", 24, 1, 4, 29
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\AudioManager.cs", "C#", 258, 99, 123, 480
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\AudioScripts\AudioData.cs", "C#", 23, 0, 10, 33
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\AudioScripts\AudioEventListener.cs", "C#", 4, 55, 23, 82
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\AudioScripts\PeopleButtonRisingSoundController.cs", "C#", 42, 6, 14, 62
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\BuildingSystem.cs", "C#", 315, 174, 152, 641
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\Contract Scripts\ContractData.cs", "C#", 19, 5, 6, 30
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\Contract Scripts\ContractManager.cs", "C#", 48, 9, 12, 69
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\Contract Scripts\ContractUIElement.cs", "C#", 93, 11, 17, 121
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\DeafenFMODListener.cs", "C#", 9, 15, 4, 28
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\DisableWorkplacesWithoutEmployees.cs", "C#", 4, 74, 16, 94
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\EventManager.cs", "C#", 19, 2, 4, 25
